table_name,column_name,is_nullable,spanner_type
CHANGE_STREAMS,ALL,NO,BOOL
CHANGE_STREAMS,CHANGE_STREAM_CATALOG,NO,STRING(MAX)
CHANGE_STREAMS,CHANGE_STREAM_NAME,NO,STRING(MAX)
CHANGE_STREAMS,CHANGE_STREAM_SCHEMA,NO,STRING(MAX)
CHANGE_STREAM_COLUMNS,CHANGE_STREAM_CATALOG,NO,STRING(MAX)
CHANGE_STREAM_COLUMNS,CHANGE_STREAM_NAME,NO,STRING(MAX)
CHANGE_STREAM_COLUMNS,CHANGE_STREAM_SCHEMA,NO,STRING(MAX)
CHANGE_STREAM_COLUMNS,COLUMN_NAME,NO,STRING(MAX)
CHANGE_STREAM_COLUMNS,TABLE_CATALOG,NO,STRING(MAX)
CHANGE_STREAM_COLUMNS,TABLE_NAME,NO,STRING(MAX)
CHANGE_STREAM_COLUMNS,TABLE_SCHEMA,NO,STRING(MAX)
CHANGE_STREAM_OPTIONS,CHANGE_STREAM_CATALOG,NO,STRING(MAX)
CHANGE_STREAM_OPTIONS,CHANGE_STREAM_NAME,NO,STRING(MAX)
CHANGE_STREAM_OPTIONS,CHANGE_STREAM_SCHEMA,NO,STRING(MAX)
CHANGE_STREAM_OPTIONS,OPTION_NAME,NO,STRING(MAX)
CHANGE_STREAM_OPTIONS,OPTION_TYPE,NO,STRING(MAX)
CHANGE_STREAM_OPTIONS,OPTION_VALUE,NO,STRING(MAX)
CHANGE_STREAM_PRIVILEGES,CHANGE_STREAM_CATALOG,NO,STRING(MAX)
CHANGE_STREAM_PRIVILEGES,CHANGE_STREAM_NAME,NO,STRING(MAX)
CHANGE_STREAM_PRIVILEGES,CHANGE_STREAM_SCHEMA,NO,STRING(MAX)
CHANGE_STREAM_PRIVILEGES,GRANTEE,NO,STRING(MAX)
CHANGE_STREAM_PRIVILEGES,PRIVILEGE_TYPE,NO,STRING(MAX)
CHANGE_STREAM_TABLES,ALL_COLUMNS,NO,BOOL
CHANGE_STREAM_TABLES,CHANGE_STREAM_CATALOG,NO,STRING(MAX)
CHANGE_STREAM_TABLES,CHANGE_STREAM_NAME,NO,STRING(MAX)
CHANGE_STREAM_TABLES,CHANGE_STREAM_SCHEMA,NO,STRING(MAX)
CHANGE_STREAM_TABLES,TABLE_CATALOG,NO,STRING(MAX)
CHANGE_STREAM_TABLES,TABLE_NAME,NO,STRING(MAX)
CHANGE_STREAM_TABLES,TABLE_SCHEMA,NO,STRING(MAX)
CHECK_CONSTRAINTS,CHECK_CLAUSE,NO,STRING(MAX)
CHECK_CONSTRAINTS,CONSTRAINT_CATALOG,NO,STRING(MAX)
CHECK_CONSTRAINTS,CONSTRAINT_NAME,NO,STRING(MAX)
CHECK_CONSTRAINTS,CONSTRAINT_SCHEMA,NO,STRING(MAX)
CHECK_CONSTRAINTS,SPANNER_STATE,NO,STRING(MAX)
COLUMNS,COLUMN_DEFAULT,YES,STRING(MAX)
COLUMNS,COLUMN_NAME,NO,STRING(MAX)
COLUMNS,DATA_TYPE,YES,STRING(MAX)
COLUMNS,GENERATION_EXPRESSION,YES,STRING(MAX)
COLUMNS,IS_GENERATED,NO,STRING(MAX)
COLUMNS,IS_NULLABLE,YES,STRING(MAX)
COLUMNS,IS_STORED,YES,STRING(MAX)
COLUMNS,ORDINAL_POSITION,NO,INT64
COLUMNS,SPANNER_STATE,YES,STRING(MAX)
COLUMNS,SPANNER_TYPE,YES,STRING(MAX)
COLUMNS,TABLE_CATALOG,NO,STRING(MAX)
COLUMNS,TABLE_NAME,NO,STRING(MAX)
COLUMNS,TABLE_SCHEMA,NO,STRING(MAX)
COLUMN_COLUMN_USAGE,COLUMN_NAME,NO,STRING(MAX)
COLUMN_COLUMN_USAGE,DEPENDENT_COLUMN,NO,STRING(MAX)
COLUMN_COLUMN_USAGE,TABLE_CATALOG,NO,STRING(MAX)
COLUMN_COLUMN_USAGE,TABLE_NAME,NO,STRING(MAX)
COLUMN_COLUMN_USAGE,TABLE_SCHEMA,NO,STRING(MAX)
COLUMN_OPTIONS,COLUMN_NAME,NO,STRING(MAX)
COLUMN_OPTIONS,OPTION_NAME,NO,STRING(MAX)
COLUMN_OPTIONS,OPTION_TYPE,NO,STRING(MAX)
COLUMN_OPTIONS,OPTION_VALUE,NO,STRING(MAX)
COLUMN_OPTIONS,TABLE_CATALOG,NO,STRING(MAX)
COLUMN_OPTIONS,TABLE_NAME,NO,STRING(MAX)
COLUMN_OPTIONS,TABLE_SCHEMA,NO,STRING(MAX)
COLUMN_PRIVILEGES,COLUMN_NAME,NO,STRING(MAX)
COLUMN_PRIVILEGES,GRANTEE,NO,STRING(MAX)
COLUMN_PRIVILEGES,PRIVILEGE_TYPE,NO,STRING(MAX)
COLUMN_PRIVILEGES,TABLE_CATALOG,NO,STRING(MAX)
COLUMN_PRIVILEGES,TABLE_NAME,NO,STRING(MAX)
COLUMN_PRIVILEGES,TABLE_SCHEMA,NO,STRING(MAX)
CONSTRAINT_COLUMN_USAGE,COLUMN_NAME,NO,STRING(MAX)
CONSTRAINT_COLUMN_USAGE,CONSTRAINT_CATALOG,NO,STRING(MAX)
CONSTRAINT_COLUMN_USAGE,CONSTRAINT_NAME,NO,STRING(MAX)
CONSTRAINT_COLUMN_USAGE,CONSTRAINT_SCHEMA,NO,STRING(MAX)
CONSTRAINT_COLUMN_USAGE,TABLE_CATALOG,NO,STRING(MAX)
CONSTRAINT_COLUMN_USAGE,TABLE_NAME,NO,STRING(MAX)
CONSTRAINT_COLUMN_USAGE,TABLE_SCHEMA,NO,STRING(MAX)
CONSTRAINT_TABLE_USAGE,CONSTRAINT_CATALOG,NO,STRING(MAX)
CONSTRAINT_TABLE_USAGE,CONSTRAINT_NAME,NO,STRING(MAX)
CONSTRAINT_TABLE_USAGE,CONSTRAINT_SCHEMA,NO,STRING(MAX)
CONSTRAINT_TABLE_USAGE,TABLE_CATALOG,NO,STRING(MAX)
CONSTRAINT_TABLE_USAGE,TABLE_NAME,NO,STRING(MAX)
CONSTRAINT_TABLE_USAGE,TABLE_SCHEMA,NO,STRING(MAX)
DATABASE_OPTIONS,CATALOG_NAME,NO,STRING(MAX)
DATABASE_OPTIONS,OPTION_NAME,NO,STRING(MAX)
DATABASE_OPTIONS,OPTION_TYPE,NO,STRING(MAX)
DATABASE_OPTIONS,OPTION_VALUE,NO,STRING(MAX)
DATABASE_OPTIONS,SCHEMA_NAME,NO,STRING(MAX)
INDEXES,INDEX_NAME,NO,STRING(MAX)
INDEXES,INDEX_STATE,NO,STRING(100)
INDEXES,INDEX_TYPE,NO,STRING(MAX)
INDEXES,IS_NULL_FILTERED,NO,BOOL
INDEXES,IS_UNIQUE,NO,BOOL
INDEXES,PARENT_TABLE_NAME,NO,STRING(MAX)
INDEXES,SPANNER_IS_MANAGED,NO,BOOL
INDEXES,TABLE_CATALOG,NO,STRING(MAX)
INDEXES,TABLE_NAME,NO,STRING(MAX)
INDEXES,TABLE_SCHEMA,NO,STRING(MAX)
INDEX_COLUMNS,COLUMN_NAME,NO,STRING(MAX)
INDEX_COLUMNS,COLUMN_ORDERING,YES,STRING(MAX)
INDEX_COLUMNS,INDEX_NAME,NO,STRING(MAX)
INDEX_COLUMNS,INDEX_TYPE,NO,STRING(MAX)
INDEX_COLUMNS,IS_NULLABLE,YES,STRING(MAX)
INDEX_COLUMNS,ORDINAL_POSITION,YES,INT64
INDEX_COLUMNS,SPANNER_TYPE,YES,STRING(MAX)
INDEX_COLUMNS,TABLE_CATALOG,NO,STRING(MAX)
INDEX_COLUMNS,TABLE_NAME,NO,STRING(MAX)
INDEX_COLUMNS,TABLE_SCHEMA,NO,STRING(MAX)
KEY_COLUMN_USAGE,COLUMN_NAME,NO,STRING(MAX)
KEY_COLUMN_USAGE,CONSTRAINT_CATALOG,NO,STRING(MAX)
KEY_COLUMN_USAGE,CONSTRAINT_NAME,NO,STRING(MAX)
KEY_COLUMN_USAGE,CONSTRAINT_SCHEMA,NO,STRING(MAX)
KEY_COLUMN_USAGE,ORDINAL_POSITION,NO,INT64
KEY_COLUMN_USAGE,POSITION_IN_UNIQUE_CONSTRAINT,YES,INT64
KEY_COLUMN_USAGE,TABLE_CATALOG,NO,STRING(MAX)
KEY_COLUMN_USAGE,TABLE_NAME,NO,STRING(MAX)
KEY_COLUMN_USAGE,TABLE_SCHEMA,NO,STRING(MAX)
REFERENTIAL_CONSTRAINTS,CONSTRAINT_CATALOG,NO,STRING(MAX)
REFERENTIAL_CONSTRAINTS,CONSTRAINT_NAME,NO,STRING(MAX)
REFERENTIAL_CONSTRAINTS,CONSTRAINT_SCHEMA,NO,STRING(MAX)
REFERENTIAL_CONSTRAINTS,DELETE_RULE,NO,STRING(MAX)
REFERENTIAL_CONSTRAINTS,MATCH_OPTION,NO,STRING(MAX)
REFERENTIAL_CONSTRAINTS,SPANNER_STATE,NO,STRING(MAX)
REFERENTIAL_CONSTRAINTS,UNIQUE_CONSTRAINT_CATALOG,YES,STRING(MAX)
REFERENTIAL_CONSTRAINTS,UNIQUE_CONSTRAINT_NAME,YES,STRING(MAX)
REFERENTIAL_CONSTRAINTS,UNIQUE_CONSTRAINT_SCHEMA,YES,STRING(MAX)
REFERENTIAL_CONSTRAINTS,UPDATE_RULE,NO,STRING(MAX)
ROLES,IS_SYSTEM,NO,BOOL
ROLES,ROLE_NAME,NO,STRING(MAX)
ROLE_GRANTEES,GRANTEE,NO,STRING(MAX)
ROLE_GRANTEES,ROLE_NAME,NO,STRING(MAX)
SCHEMATA,CATALOG_NAME,NO,STRING(MAX)
SCHEMATA,EFFECTIVE_TIMESTAMP,YES,INT64
SCHEMATA,SCHEMA_NAME,NO,STRING(MAX)
SCHEMATA,SCHEMA_OWNER,YES,STRING(MAX)
SPANNER_STATISTICS,ALLOW_GC,NO,BOOL
SPANNER_STATISTICS,CATALOG_NAME,NO,STRING(MAX)
SPANNER_STATISTICS,PACKAGE_NAME,NO,STRING(MAX)
SPANNER_STATISTICS,SCHEMA_NAME,NO,STRING(MAX)
TABLES,INTERLEAVE_TYPE,YES,STRING(MAX)
TABLES,ON_DELETE_ACTION,YES,STRING(MAX)
TABLES,PARENT_TABLE_NAME,YES,STRING(MAX)
TABLES,ROW_DELETION_POLICY_EXPRESSION,YES,STRING(MAX)
TABLES,SPANNER_STATE,YES,STRING(MAX)
TABLES,TABLE_CATALOG,NO,STRING(MAX)
TABLES,TABLE_NAME,NO,STRING(MAX)
TABLES,TABLE_SCHEMA,NO,STRING(MAX)
TABLES,TABLE_TYPE,NO,STRING(32)
TABLE_CONSTRAINTS,CONSTRAINT_CATALOG,NO,STRING(MAX)
TABLE_CONSTRAINTS,CONSTRAINT_NAME,NO,STRING(MAX)
TABLE_CONSTRAINTS,CONSTRAINT_SCHEMA,NO,STRING(MAX)
TABLE_CONSTRAINTS,CONSTRAINT_TYPE,NO,STRING(MAX)
TABLE_CONSTRAINTS,ENFORCED,NO,STRING(MAX)
TABLE_CONSTRAINTS,INITIALLY_DEFERRED,NO,STRING(MAX)
TABLE_CONSTRAINTS,IS_DEFERRABLE,NO,STRING(MAX)
TABLE_CONSTRAINTS,TABLE_CATALOG,NO,STRING(MAX)
TABLE_CONSTRAINTS,TABLE_NAME,NO,STRING(MAX)
TABLE_CONSTRAINTS,TABLE_SCHEMA,NO,STRING(MAX)
TABLE_PRIVILEGES,GRANTEE,NO,STRING(MAX)
TABLE_PRIVILEGES,PRIVILEGE_TYPE,NO,STRING(MAX)
TABLE_PRIVILEGES,TABLE_CATALOG,NO,STRING(MAX)
TABLE_PRIVILEGES,TABLE_NAME,NO,STRING(MAX)
TABLE_PRIVILEGES,TABLE_SCHEMA,NO,STRING(MAX)
VIEWS,TABLE_CATALOG,NO,STRING(MAX)
VIEWS,TABLE_NAME,NO,STRING(MAX)
VIEWS,TABLE_SCHEMA,NO,STRING(MAX)
VIEWS,VIEW_DEFINITION,YES,STRING(MAX)
