table_name,column_name,is_nullable,spanner_type
pg_am,oid,YES,oid
pg_am,amname,YES,character varying
pg_am,amtype,YES,character varying
pg_attrdef,oid,YES,oid
pg_attrdef,adrelid,YES,oid
pg_attrdef,adnum,YES,bigint
pg_attrdef,adbin,YES,character varying
pg_attribute,attrelid,YES,oid
pg_attribute,attname,YES,character varying
pg_attribute,atttypid,YES,oid
pg_attribute,attstattarget,YES,bigint
pg_attribute,attlen,YES,bigint
pg_attribute,attnum,YES,bigint
pg_attribute,attndims,YES,bigint
pg_attribute,attcacheoff,YES,bigint
pg_attribute,atttypmod,YES,bigint
pg_attribute,attbyval,YES,boolean
pg_attribute,attalign,YES,character varying
pg_attribute,attstorage,YES,character varying
pg_attribute,attcompression,YES,character varying
pg_attribute,attnotnull,YES,boolean
pg_attribute,atthasdef,YES,boolean
pg_attribute,atthasmissing,YES,boolean
pg_attribute,attidentity,YES,character varying
pg_attribute,attgenerated,YES,character varying
pg_attribute,attisdropped,YES,boolean
pg_attribute,attislocal,YES,boolean
pg_attribute,attinhcount,YES,bigint
pg_attribute,attcollation,YES,oid
pg_attribute,attoptions,YES,character varying
pg_attribute,attfdwoptions,YES,character varying
pg_available_extension_versions,name,YES,character varying
pg_available_extension_versions,version,YES,character varying
pg_available_extension_versions,installed,YES,boolean
pg_available_extension_versions,superuser,YES,boolean
pg_available_extension_versions,trusted,YES,boolean
pg_available_extension_versions,relocatable,YES,boolean
pg_available_extension_versions,schema,YES,character varying
pg_available_extension_versions,requires,YES,character varying[]
pg_available_extension_versions,comment,YES,character varying
pg_available_extensions,name,YES,character varying
pg_available_extensions,default_version,YES,character varying
pg_available_extensions,installed_version,YES,character varying
pg_available_extensions,comment,YES,character varying
pg_backend_memory_contexts,name,YES,character varying
pg_backend_memory_contexts,ident,YES,character varying
pg_backend_memory_contexts,parent,YES,character varying
pg_backend_memory_contexts,level,YES,bigint
pg_backend_memory_contexts,total_bytes,YES,bigint
pg_backend_memory_contexts,total_nblocks,YES,bigint
pg_backend_memory_contexts,free_bytes,YES,bigint
pg_backend_memory_contexts,free_chunks,YES,bigint
pg_backend_memory_contexts,used_bytes,YES,bigint
pg_class,oid,YES,oid
pg_class,relname,YES,character varying
pg_class,relnamespace,YES,oid
pg_class,reltype,YES,oid
pg_class,reloftype,YES,oid
pg_class,relowner,YES,oid
pg_class,relam,YES,oid
pg_class,relfilenode,YES,oid
pg_class,reltablespace,YES,oid
pg_class,relpages,YES,bigint
pg_class,reltuples,YES,double precision
pg_class,relallvisible,YES,bigint
pg_class,reltoastrelid,YES,oid
pg_class,relhasindex,YES,boolean
pg_class,relisshared,YES,boolean
pg_class,relpersistence,YES,character varying
pg_class,relkind,YES,character varying
pg_class,relnatts,YES,bigint
pg_class,relchecks,YES,bigint
pg_class,relhasrules,YES,boolean
pg_class,relhastriggers,YES,boolean
pg_class,relhassubclass,YES,boolean
pg_class,relrowsecurity,YES,boolean
pg_class,relforcerowsecurity,YES,boolean
pg_class,relispopulated,YES,boolean
pg_class,relreplident,YES,character varying
pg_class,relispartition,YES,boolean
pg_class,relrewrite,YES,oid
pg_class,relfrozenxid,YES,bigint
pg_class,relminmxid,YES,bigint
pg_class,reloptions,YES,character varying
pg_class,relpartbound,YES,character varying
pg_collation,oid,YES,oid
pg_collation,collname,YES,character varying
pg_collation,collnamespace,YES,oid
pg_collation,collowner,YES,oid
pg_collation,collprovider,YES,character varying
pg_collation,collisdeterministic,YES,boolean
pg_collation,collencoding,YES,bigint
pg_collation,collcollate,YES,character varying
pg_collation,collctype,YES,character varying
pg_collation,colliculocale,YES,character varying
pg_collation,collversion,YES,character varying
pg_config,name,YES,character varying
pg_config,setting,YES,character varying
pg_constraint,oid,YES,oid
pg_constraint,conname,YES,character varying
pg_constraint,connamespace,YES,oid
pg_constraint,contype,YES,character varying
pg_constraint,condeferrable,YES,boolean
pg_constraint,condeferred,YES,boolean
pg_constraint,convalidated,YES,boolean
pg_constraint,conrelid,YES,oid
pg_constraint,contypid,YES,oid
pg_constraint,conindid,YES,oid
pg_constraint,conparentid,YES,oid
pg_constraint,confrelid,YES,oid
pg_constraint,confupdtype,YES,character varying
pg_constraint,confdeltype,YES,character varying
pg_constraint,confmatchtype,YES,character varying
pg_constraint,conislocal,YES,boolean
pg_constraint,coninhcount,YES,bigint
pg_constraint,connoinherit,YES,boolean
pg_constraint,conkey,YES,bigint[]
pg_constraint,confkey,YES,bigint[]
pg_constraint,conpfeqop,YES,oid[]
pg_constraint,conppeqop,YES,oid[]
pg_constraint,conffeqop,YES,oid[]
pg_constraint,conexclop,YES,oid[]
pg_constraint,conbin,YES,character varying
pg_cursors,name,YES,character varying
pg_cursors,statement,YES,character varying
pg_cursors,is_holdable,YES,boolean
pg_cursors,is_binary,YES,boolean
pg_cursors,is_scrollable,YES,boolean
pg_cursors,creation_time,YES,timestamp with time zone
pg_description,objoid,YES,oid
pg_description,classoid,YES,oid
pg_description,objsubid,YES,bigint
pg_description,description,YES,character varying
pg_enum,oid,YES,oid
pg_enum,enumtypid,YES,oid
pg_enum,enumsortorder,YES,double precision
pg_enum,enumlabel,YES,character varying
pg_extension,oid,YES,oid
pg_extension,extname,YES,character varying
pg_extension,extowner,YES,oid
pg_extension,extnamespace,YES,oid
pg_extension,extrelocatable,YES,boolean
pg_extension,extversion,YES,character varying
pg_extension,extconfig,YES,oid[]
pg_extension,extcondition,YES,character varying[]
pg_file_settings,sourcefile,YES,character varying
pg_file_settings,sourceline,YES,bigint
pg_file_settings,seqno,YES,bigint
pg_file_settings,name,YES,character varying
pg_file_settings,setting,YES,character varying
pg_file_settings,applied,YES,boolean
pg_file_settings,error,YES,character varying
pg_hba_file_rules,line_number,YES,bigint
pg_hba_file_rules,type,YES,character varying
pg_hba_file_rules,database,YES,character varying[]
pg_hba_file_rules,user_name,YES,character varying[]
pg_hba_file_rules,address,YES,character varying
pg_hba_file_rules,netmask,YES,character varying
pg_hba_file_rules,auth_method,YES,character varying
pg_hba_file_rules,options,YES,character varying[]
pg_hba_file_rules,error,YES,character varying
pg_index,indexrelid,YES,oid
pg_index,indrelid,YES,oid
pg_index,indnatts,YES,bigint
pg_index,indnkeyatts,YES,bigint
pg_index,indisunique,YES,boolean
pg_index,indisprimary,YES,boolean
pg_index,indisexclusion,YES,boolean
pg_index,indimmediate,YES,boolean
pg_index,indisclustered,YES,boolean
pg_index,indisvalid,YES,boolean
pg_index,indcheckxmin,YES,boolean
pg_index,indisready,YES,boolean
pg_index,indislive,YES,boolean
pg_index,indisreplident,YES,boolean
pg_index,indkey,YES,bigint[]
pg_index,indcollation,YES,bigint[]
pg_index,indclass,YES,bigint[]
pg_index,indoption,YES,bigint[]
pg_index,indexprs,YES,character varying
pg_index,indpred,YES,character varying
pg_indexes,schemaname,YES,character varying
pg_indexes,tablename,YES,character varying
pg_indexes,indexname,YES,character varying
pg_indexes,tablespace,YES,character varying
pg_indexes,indexdef,YES,character varying
pg_language,oid,YES,oid
pg_language,lanname,YES,character varying
pg_language,lanowner,YES,oid
pg_language,lanispl,YES,boolean
pg_language,lanpltrusted,YES,boolean
pg_language,lanplcallfoid,YES,oid
pg_language,laninline,YES,oid
pg_language,lanvalidator,YES,oid
pg_language,lanacl,YES,character varying
pg_matviews,schemaname,YES,character varying
pg_matviews,matviewname,YES,character varying
pg_matviews,matviewowner,YES,character varying
pg_matviews,tablespace,YES,character varying
pg_matviews,hasindexes,YES,boolean
pg_matviews,ispopulated,YES,boolean
pg_matviews,definition,YES,character varying
