table_name,column_name,is_nullable,spanner_type,ordinal_position
ACTIVE_QUERIES_SUMMARY,ACTIVE_COUNT,YES,INT64,1
ACTIVE_QUERIES_SUMMARY,COUNT_OLDER_THAN_100S,YES,INT64,5
ACTIVE_QUERIES_SUMMARY,COUNT_OLDER_THAN_10S,YES,INT64,4
ACTIVE_QUERIES_SUMMARY,COUNT_OLDER_THAN_1S,YES,INT64,3
ACTIVE_QUERIES_SUMMARY,OLDEST_START_TIME,YES,TIMESTAMP,2
LOCK_STATS_TOP_10MINUTE,INTERVAL_END,YES,TIMESTAMP,1
LOCK_STATS_TOP_10MINUTE,LOCK_WAIT_SECONDS,YES,FLOAT64,3
LOCK_STATS_TOP_10MINUTE,ROW_RANGE_START_KEY,YES,BYTES(MAX),2
LOCK_STATS_TOP_10MINUTE,SAMPLE_LOCK_REQUESTS,YES,"ARRAY<STRUCT<COLUMN STRING(MAX), LOCK_MODE STRING(MAX), TRANSACTION_TAG STRING(MAX)>>",4
LOCK_STATS_TOP_HOUR,INTERVAL_END,YES,TIMESTAMP,1
LOCK_STATS_TOP_HOUR,LOCK_WAIT_SECONDS,YES,FLOAT64,3
LOCK_STATS_TOP_HOUR,ROW_RANGE_START_KEY,YES,BYTES(MAX),2
LOCK_STATS_TOP_HOUR,SAMPLE_LOCK_REQUESTS,YES,"ARRAY<STRUCT<COLUMN STRING(MAX), LOCK_MODE STRING(MAX), TRANSACTION_TAG STRING(MAX)>>",4
LOCK_STATS_TOP_MINUTE,INTERVAL_END,YES,TIMESTAMP,1
LOCK_STATS_TOP_MINUTE,LOCK_WAIT_SECONDS,YES,FLOAT64,3
LOCK_STATS_TOP_MINUTE,ROW_RANGE_START_KEY,YES,BYTES(MAX),2
LOCK_STATS_TOP_MINUTE,SAMPLE_LOCK_REQUESTS,YES,"ARRAY<STRUCT<COLUMN STRING(MAX), LOCK_MODE STRING(MAX), TRANSACTION_TAG STRING(MAX)>>",4
LOCK_STATS_TOTAL_10MINUTE,INTERVAL_END,YES,TIMESTAMP,1
LOCK_STATS_TOTAL_10MINUTE,TOTAL_LOCK_WAIT_SECONDS,YES,FLOAT64,2
LOCK_STATS_TOTAL_HOUR,INTERVAL_END,YES,TIMESTAMP,1
LOCK_STATS_TOTAL_HOUR,TOTAL_LOCK_WAIT_SECONDS,YES,FLOAT64,2
LOCK_STATS_TOTAL_MINUTE,INTERVAL_END,YES,TIMESTAMP,1
LOCK_STATS_TOTAL_MINUTE,TOTAL_LOCK_WAIT_SECONDS,YES,FLOAT64,2
OLDEST_ACTIVE_QUERIES,SESSION_ID,YES,STRING(MAX),5
OLDEST_ACTIVE_QUERIES,START_TIME,YES,TIMESTAMP,1
OLDEST_ACTIVE_QUERIES,TEXT,YES,STRING(MAX),3
OLDEST_ACTIVE_QUERIES,TEXT_FINGERPRINT,YES,INT64,2
OLDEST_ACTIVE_QUERIES,TEXT_TRUNCATED,YES,BOOL,4
QUERY_STATS_TOP_10MINUTE,ALL_FAILED_AVG_LATENCY_SECONDS,YES,FLOAT64,14
